track_id,artist_name,track_name,album_name,album_release_date,duration_ms,explicit,track_number,disc_number,track_popularity,album_popularity,track_vs_album_popularity,artist_popularity,artist_followers,album_vs_artist_popularity,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,energy_danceability_score
3wbObTjyGbdEytRNyXwgqM,JAYBULAT,Бомба,Север - юг,2020-02-05,167706,0,2,1,2,1,0.5,0,37,1.0,110.039,11,0,0.733,0.714,-7.793,0.0635,0.845,0.0,0.224,0.781,0.523362
3wbObcxAPWi4auqUtUKG5U,Grav,Line For Line,Down To Earth,1996-01-01,262906,1,8,1,13,16,1.4195402298850577,11,834,1.0,88.539,10,0,0.633,0.708,-9.673,0.349,0.0135,0.0,0.0888,0.439,0.448164
3wbOdjO4VwSvIYfvJU3qap,Alberto Kalle,Superfox,Doppia fisa,2017-06-20,170898,0,6,1,4,18,0.5544554455445544,21,734,1.3053435114503817,179.848,0,1,0.711,0.659,-4.78,0.0388,0.527,0.671,0.148,0.965,0.468549
3wbOdjO4VwSvIYfvJU3qap,Paolo Bertoli,Superfox,Doppia fisa,2017-06-20,170898,0,6,1,4,18,0.5544554455445544,23,2137,2.1613508442776737,179.848,0,1,0.711,0.659,-4.78,0.0388,0.527,0.671,0.148,0.965,0.468549
3wbOdqUaGb2ho17wc65u1N,Banda Aveloz,Vai Dar Amor - Ao Vivo,"Nhac, Nhac Eu Vou Te Conquistar, Vol. 5 (Ao Vivo)",2007-04-11,168414,0,1,1,14,10,2.130434782608696,37,29916,0.5701357466063348,170.136,11,0,0.603,0.812,-6.992,0.0509,0.676,5.26e-06,0.0948,0.962,0.489636
3wbOkE8aQSGTCDpDFCJruX,Covent,Safe,Safe In Your Arms,2025-09-19,203476,0,1,1,4,1,1.0,1,220,1.0,120.043,7,1,0.374,0.599,-4.519,0.049,1.08e-05,0.927,0.318,0.122,0.224026
3wbOmmVxKtEEBCLtMGjTR1,Alex Bolte,Kapitel 68 - Wicked Deal: Traust du dich?,Wicked Deal: Traust du dich? (ungekürzt),2020-08-20,188859,0,68,1,1,10,1.0,28,106,0.5582329317269076,167.152,1,1,0.634,0.236,-19.008,0.969,0.539,0.0,0.395,0.289,0.149624
3wbOmmVxKtEEBCLtMGjTR1,C. R. Scott,Kapitel 68 - Wicked Deal: Traust du dich?,Wicked Deal: Traust du dich? (ungekürzt),2020-08-20,188859,0,68,1,1,10,1.0,40,2813,0.6573204788167109,167.152,1,1,0.634,0.236,-19.008,0.969,0.539,0.0,0.395,0.289,0.149624
3wbOmmVxKtEEBCLtMGjTR1,Lisa Müller,Kapitel 68 - Wicked Deal: Traust du dich?,Wicked Deal: Traust du dich? (ungekürzt),2020-08-20,188859,0,68,1,1,10,1.0,46,381,0.6219248876145977,167.152,1,1,0.634,0.236,-19.008,0.969,0.539,0.0,0.395,0.289,0.149624
3wbOoMKNFKoqKFPTkNJf7b,Organizacion Magallon,Remordimiento,Y Sigue la Arre,2007-01-16,199666,0,6,1,10,28,0.8064516129032258,38,27928,1.8743761831010153,133.456,9,0,0.694,0.769,-4.474,0.0311,0.391,1.26e-06,0.0745,0.664,0.533686
